date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,1,null,1,0,null
2020-02-16,1,0,1,0,null
2020-02-17,1,0,1,0,null
2020-02-18,1,0,1,0,null
2020-02-19,1,0,1,0,null
2020-02-20,1,0,1,0,0
2020-02-21,1,0,1,0,0
2020-02-22,1,0,1,0,0
2020-02-23,1,0,1,0,0
2020-02-24,1,0,1,0,0
2020-02-25,1,0,1,0,0
2020-02-26,2,1,2,0,0
2020-02-27,7,5,7,0,0
2020-02-28,11,4,11,0,0
2020-02-29,13,2,13,0,0
2020-03-01,14,1,14,0,0
2020-03-02,15,1,15,0,0
2020-03-03,30,15,29,0,0
2020-03-04,52,22,51,0,0
2020-03-05,94,42,93,0,0
2020-03-06,137,43,136,0,0
2020-03-07,161,24,160,0,0
2020-03-08,203,42,202,0,0
2020-03-09,260,57,259,0,0
2020-03-10,355,95,354,0,0
2020-03-11,500,145,498,1,1
2020-03-12,687,187,685,1,0
2020-03-13,814,127,812,1,0
2020-03-14,961,147,958,2,1
2020-03-15,1040,79,1036,3,1
2020-03-16,1121,81,1113,7,4
2020-03-17,1196,75,1187,8,1
2020-03-18,1301,105,1276,10,2
2020-03-19,1439,138,1412,11,1
2020-03-20,1639,200,1607,16,5
2020-03-21,1770,131,1734,20,4
2020-03-22,1934,164,1897,21,1
2020-03-23,2046,112,2003,27,6
2020-03-24,2299,253,2243,40,13
2020-03-25,2526,227,2448,62,22
2020-03-26,2840,314,2747,77,15
2020-03-27,3069,229,2948,105,28
2020-03-28,3447,378,3326,105,0
2020-03-29,3700,253,3574,110,5
2020-03-30,4028,328,3866,146,36
2020-03-31,4435,407,4239,180,34
2020-04-01,4947,512,4605,239,59
2020-04-02,5568,621,5157,308,69
2020-04-03,6131,563,5568,358,50
2020-04-04,6443,312,5865,373,15
2020-04-05,6830,387,6224,401,28
2020-04-06,7206,376,6524,477,76
2020-04-07,7693,487,6897,591,114
2020-04-08,8419,726,7527,687,96
2020-04-09,9141,722,8143,793,106
2020-04-10,9685,544,8434,870,77
2020-04-11,10151,466,8883,887,17
2020-04-12,10483,332,9203,899,12
2020-04-13,10948,465,9648,919,20
2020-04-14,11445,497,10031,1033,114
2020-04-15,11927,482,10343,1203,170
2020-04-16,12540,613,10657,1333,130
2020-04-17,13216,676,11266,1400,67
2020-04-18,13822,606,11761,1511,111
2020-04-19,14385,563,12295,1540,29
2020-04-20,14777,392,12647,1580,40
2020-04-21,15322,545,13007,1765,185
2020-04-22,16004,682,13517,1937,172
2020-04-23,16755,751,14184,2021,84
2020-04-24,17567,812,14865,2152,131
2020-04-25,18177,610,14980,2192,40
2020-04-26,18640,463,15441,2194,2
2020-04-27,18926,286,15647,2274,80
2020-04-28,19621,695,16261,2355,81
2020-04-29,20302,681,16835,2462,107
2020-04-30,21092,790,17501,2586,124
2020-05-01,21520,428,17862,2653,67
2020-05-02,22082,562,18408,2669,16
2020-05-03,22317,235,18633,2679,10
2020-05-04,22721,404,15878,2769,90
2020-05-05,23216,495,16288,2854,85
2020-05-06,23918,702,16903,2941,87
2020-05-07,24623,705,16612,3040,99
2020-05-08,25265,642,17119,3175,135
2020-05-09,25921,656,17730,3220,45
2020-05-10,26322,401,18126,3225,5
2020-05-11,26670,348,18443,3256,31
2020-05-12,27272,602,18988,3313,57
2020-05-13,27909,637,19478,3460,147
2020-05-14,28582,673,20082,3529,69
2020-05-15,29207,625,20590,3646,117
2020-05-16,29677,470,21032,3674,28
2020-05-17,30143,466,21493,3679,5
2020-05-18,30377,234,21708,3698,19
2020-05-19,30799,422,22085,3743,45
2020-05-20,31523,724,22721,3831,88
2020-05-21,32172,649,23330,3871,40
2020-05-22,32809,637,23913,3925,54
2020-05-23,33188,379,24225,3992,67
2020-05-24,33459,271,24490,3998,6
2020-05-25,33843,384,24843,4029,31
2020-05-26,34440,597,25344,4125,96
2020-05-27,35088,648,25897,4220,95
2020-05-28,35727,639,26490,4266,46
2020-05-29,36476,749,27155,4350,84
