date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,2,,0.0,0,
2020-02-16,2,0.0,0.0,0,
2020-02-17,2,0.0,0.0,0,
2020-02-18,2,0.0,0.0,0,
2020-02-19,2,0.0,0.0,0,
2020-02-20,2,0.0,0.0,0,0.0
2020-02-21,2,0.0,0.0,0,0.0
2020-02-22,2,0.0,0.0,0,0.0
2020-02-23,2,0.0,0.0,0,0.0
2020-02-24,3,1.0,1.0,0,0.0
2020-02-25,9,6.0,7.0,0,0.0
2020-02-26,13,4.0,11.0,0,0.0
2020-02-27,25,12.0,23.0,0,0.0
2020-02-28,33,8.0,31.0,0,0.0
2020-02-29,58,25.0,56.0,0,0.0
2020-03-01,84,26.0,82.0,0,0.0
2020-03-02,120,36.0,118.0,0,0.0
2020-03-03,165,45.0,162.0,1,1.0
2020-03-04,228,63.0,224.0,2,1.0
2020-03-05,282,54.0,276.0,3,1.0
2020-03-06,401,119.0,387.0,8,5.0
2020-03-07,525,124.0,485.0,10,2.0
2020-03-08,674,149.0,625.0,17,7.0
2020-03-09,1231,557.0,1169.0,30,13.0
2020-03-10,1695,464.0,1524.0,36,6.0
2020-03-11,2277,582.0,2039.0,55,19.0
2020-03-12,3146,869.0,2871.0,86,31.0
2020-03-13,5232,2086.0,4906.0,133,47.0
2020-03-14,6391,1159.0,5678.0,196,63.0
2020-03-15,7988,1597.0,7177.0,294,98.0
2020-03-16,9942,1954.0,9070.0,342,48.0
2020-03-17,11826,1884.0,10265.0,533,191.0
2020-03-18,14769,2943.0,13050.0,638,105.0
2020-03-19,18077,3308.0,16139.0,831,193.0
2020-03-20,21571,3494.0,18890.0,1093,262.0
2020-03-21,25496,3925.0,21990.0,1381,288.0
2020-03-22,28768,3272.0,24421.0,1772,391.0
2020-03-23,35136,6368.0,29470.0,2311,539.0
2020-03-24,42058,6922.0,35273.0,2991,680.0
2020-03-25,49515,7457.0,40501.0,3647,656.0
2020-03-26,57786,8271.0,46406.0,4365,718.0
2020-03-27,65719,7933.0,51224.0,5138,773.0
2020-03-28,73235,7516.0,54968.0,5982,844.0
2020-03-29,80110,6875.0,58598.0,6803,821.0
2020-03-30,87956,7846.0,63460.0,7716,913.0
2020-03-31,95923,7967.0,68200.0,8464,748.0
2020-04-01,104118,8195.0,72084.0,9387,923.0
2020-04-02,112065,7947.0,74974.0,10348,961.0
2020-04-03,119199,7134.0,77488.0,11198,850.0
2020-04-04,126168,6969.0,80002.0,11947,749.0
2020-04-05,131646,5478.0,80925.0,12641,694.0
2020-04-06,136675,5029.0,82897.0,13341,700.0
2020-04-07,141942,5267.0,84689.0,14045,704.0
2020-04-08,148220,6278.0,85407.0,14792,747.0
2020-04-09,153222,5002.0,85610.0,15447,655.0
2020-04-10,158273,5051.0,86524.0,16081,634.0
2020-04-11,163027,4754.0,87312.0,16606,525.0
2020-04-12,166831,3804.0,87231.0,17209,603.0
2020-04-13,170099,3268.0,87616.0,17756,547.0
2020-04-14,174060,3961.0,88301.0,18255,499.0
2020-04-15,180659,6599.0,90994.0,18812,557.0
2020-04-16,184948,4289.0,91021.0,19130,318.0
2020-04-17,190839,5891.0,96564.0,19478,348.0
2020-04-18,194416,3577.0,98382.0,20043,565.0
2020-04-19,198674,4258.0,98338.0,20453,410.0
2020-04-20,200210,1536.0,97464.0,20852,399.0
2020-04-21,204178,3968.0,98958.0,21282,430.0
2020-04-22,208389,4211.0,99440.0,21717,435.0
2020-04-23,213024,4635.0,100106.0,22157,440.0
2020-04-24,219764,6740.0,88111.0,22524,367.0
2020-04-25,223759,3995.0,87295.0,22902,378.0
2020-04-26,226629,2870.0,85712.0,23190,288.0
2020-04-27,229422,2793.0,85069.0,23521,331.0
2020-04-28,232128,2706.0,84403.0,23822,301.0
2020-04-29,236899,4771.0,79695.0,24275,453.0
2020-04-30,239340,2441.0,76842.0,24543,268.0
2020-05-01,242979,3639.0,75714.0,24824,281.0
2020-05-02,245589,2610.0,74234.0,25100,276.0
2020-05-03,247122,1533.0,73300.0,25264,164.0
2020-05-04,248301,1179.0,71240.0,25428,164.0
2020-05-05,250561,2260.0,70230.0,25613,185.0
2020-05-06,253682,3121.0,68466.0,25857,244.0
2020-05-07,256855,3173.0,66866.0,26070,213.0
2020-05-08,260117,3262.0,65410.0,26299,229.0
2020-05-09,262783,2666.0,63148.0,26478,179.0
2020-05-10,264663,1880.0,61603.0,26621,143.0
2020-05-11,268143,3480.0,63553.0,26744,123.0
2020-05-12,269520,1377.0,62130.0,26920,176.0
2020-05-13,271095,1575.0,60764.0,27104,184.0
2020-05-14,272646,1551.0,58845.0,27321,217.0
2020-05-15,274367,1721.0,57941.0,27459,138.0
2020-05-16,276505,2138.0,56689.0,27563,104.0
2020-05-17,277719,1214.0,54124.0,27650,87.0
2020-05-18,278188,469.0,53521.0,27709,59.0
2020-05-19,278803,615.0,54067.0,27778,69.0
2020-05-20,279524,721.0,54678.0,27888,110.0
2020-05-21,280117,593.0,55219.0,27940,52.0
2020-05-22,281904,1787.0,56318.0,28628,688.0
2020-05-23,282370,466.0,56734.0,28678,50.0
2020-05-24,282852,482.0,57142.0,28752,74.0
2020-05-25,282480,-372.0,58685.0,26837,-1915.0
2020-05-26,283339,859.0,59264.0,27117,280.0
2020-05-27,283849,510.0,59773.0,27118,1.0
2020-05-28,284986,1137.0,60909.0,27119,1.0
2020-05-29,285644,658.0,61565.0,27121,2.0
2020-05-30,286308,664.0,108807.0,27125,4.0
